Index,x,y,size,angle,response
0,319.237,474.255,7.51373,29.4209,0.100943
1,319.237,474.255,7.51373,223.412,0.100943
2,474.622,939.13,8.17067,331.922,0.119254
3,614.29,717.595,6.13754,130.616,0.109294
4,781.79,364.555,16.7944,62.3309,0.161014
5,781.79,364.555,16.7944,133.599,0.161014
6,781.79,364.555,16.7944,179.199,0.161014
7,781.79,364.555,16.7944,214.227,0.161014
8,781.79,364.555,16.7944,253.896,0.161014
9,781.79,364.555,16.7944,309.005,0.161014
10,781.79,364.555,16.7944,359.76,0.161014
11,846.68,768.24,7.60019,15.6971,0.117645
12,846.68,768.24,7.60019,211.074,0.117645
13,892.155,316.201,11.8373,142.173,0.0968597
14,902.694,401.96,12.1111,202.505,0.0986009
15,940.448,841.817,8.69973,45.6189,0.100137
16,940.448,841.817,8.69973,129.458,0.100137
17,979.806,812.882,6.54544,141.691,0.105035
18,979.806,812.882,6.54544,317.233,0.105035
19,991.901,770.176,6.38167,26.5461,0.0955164
20,1013.01,360.574,14.6741,184.43,0.159314
21,1013.99,863.884,11.2455,150.795,0.102009
22,1015.48,411.797,7.91102,229.126,0.0886881
23,1015.48,411.797,7.91102,327.063,0.0886881
24,1015.67,452.897,12.8423,4.99233,0.093521
25,1015.67,452.897,12.8423,179.345,0.093521
26,1023.94,756.937,8.32691,146.847,0.0954308
27,1023.94,756.937,8.32691,329.831,0.0954308
28,1040.41,1003.09,6.81042,126.874,0.112639
29,1047.73,857.472,8.84417,69.6355,0.107719
30,1048.27,997.995,5.63678,173.396,0.0867837
31,1048.27,997.995,5.63678,284.416,0.0867837
32,1057.39,1007.47,17.1463,125.353,0.099539
33,1067.66,572.291,18.1895,204.3,0.099316
34,1366.54,458.103,7.35891,158.456,0.0906354
35,1366.54,458.103,7.35891,317.023,0.0906354
36,1388.69,540.002,7.98757,18.122,0.0911563
37,1388.69,540.002,7.98757,182.04,0.0911563
38,1534.5,484.497,13.0002,10.385,0.0882153
39,1534.5,484.497,13.0002,227.677,0.0882153
