Index,x,y,size,angle,response
0,105.566,510.34,5.15907,160.715,0.0150023
1,109.81,521.21,4.91399,157.171,0.0186514
2,120.824,543.375,5.18346,148.639,0.0164669
3,126.352,550.386,4.05933,148.364,0.0156699
4,126.822,443.889,10.4456,25.3966,0.0476784
5,126.917,416.507,4.79794,231.512,0.0144615
6,127.981,477.398,4.03584,167.218,0.0211582
7,130.742,485.12,5.24207,173.132,0.0378706
8,134.741,476.483,6.6707,315.946,0.0746772
9,135.411,564.299,5.22792,140.614,0.0187232
10,141.238,490.746,13.5687,317.42,0.0770705
11,145.101,574.439,4.0303,138.187,0.0169845
12,149.938,405.869,5.6583,221.976,0.0216199
13,149.938,405.869,5.6583,241.667,0.0216199
14,153.942,453.098,39.8302,321.48,0.0596889
15,157.661,411.491,11.0613,90.0955,0.0601047
16,162.466,385.681,3.81027,219.503,0.0147085
17,163.739,594.205,5.30856,130.315,0.0160089
18,163.962,506.637,7.44512,312.808,0.0770167
19,169.549,405.471,7.93557,21.6758,0.0506776
20,169.549,405.471,7.93557,304.353,0.0506776
21,169.819,599.319,4.81824,133.013,0.0171649
22,177.189,607.893,5.45663,143.566,0.0190566
23,178.694,541.219,5.48378,92.8789,0.0283882
24,186.959,621.794,5.64351,142.36,0.0173067
25,198.031,610.936,5.26301,325.483,0.0320925
26,198.168,636.288,4.93197,141.418,0.0178851
27,198.778,427.231,5.10795,310.068,0.0273222
28,205.166,521.556,5.05745,245.053,0.0313048
29,206.548,647.634,5.16106,140.182,0.0158112
30,212.46,655.421,5.05288,142.226,0.0190506
31,213.671,474.959,9.15724,159.71,0.0444438
32,217.834,496.559,9.73477,179.159,0.0501782
33,218.749,399.406,36.9209,22.9665,0.0591684
34,218.749,399.406,36.9209,63.8579,0.0591684
35,218.749,399.406,36.9209,88.0655,0.0591684
36,223.422,644.765,5.74007,320.105,0.0313071
37,224.477,456.31,5.859,216.549,0.0529284
38,224.477,456.31,5.859,319.273,0.0529284
39,225.928,470.88,13.4377,160.376,0.0756987
40,226.064,441.344,12.807,227.829,0.0446743
41,227.07,520.522,3.99712,31.6098,0.0237833
42,230.425,441.736,7.88525,220.878,0.0432571
43,230.865,442.386,6.99695,220.029,0.043623
44,231.556,357.334,5.09305,229.985,0.032357
45,231.556,357.334,5.09305,276.182,0.032357
46,233.157,510.794,5.95344,22.332,0.0694654
47,233.157,510.794,5.95344,115.632,0.0694654
48,234.468,365.524,9.89112,113.83,0.0638469
49,235.802,472.143,5.33075,7.92122,0.0285914
50,237.556,463.018,4.73754,21.8311,0.0324329
51,243.345,495.832,8.36395,319.53,0.0487701
52,244.381,450.292,4.33578,32.3907,0.0294631
53,245.374,363.959,6.21034,42.909,0.0494716
54,245.374,363.959,6.21034,319.56,0.0494716
55,249.632,443.162,4.28946,41.7023,0.0289433
56,253.224,706.462,4.88036,141.664,0.0164809
57,253.667,706.4,4.35831,142.292,0.0162885
58,253.79,535.69,23.8505,43.821,0.0407593
59,253.79,535.69,23.8505,144.269,0.0407593
60,253.848,438.918,4.1101,46.5168,0.0255545
61,255.949,413.085,8.2544,212.619,0.0570848
62,256.756,339.889,5.48531,249.998,0.0224256
63,258.555,520.551,5.41627,95.7242,0.0359484
64,259.404,714.601,5.17177,140.167,0.0157719
65,259.856,433.044,4.2102,48.3152,0.0238534
66,261.183,484.824,27.3397,12.016,0.0458501
67,265.186,478.711,31.5193,11.4236,0.0452725
68,272.78,522.291,8.08174,93.5932,0.0639813
69,272.965,404.564,6.4162,255.461,0.0503937
70,272.965,404.564,6.4162,333.314,0.0503937
71,273.044,730.979,4.8866,139.684,0.0171725
72,273.594,421.68,4.08754,56.1748,0.027254
73,277.704,556.462,6.59464,32.1465,0.0851279
74,277.704,556.462,6.59464,191.938,0.0851279
75,279.528,511.699,11.177,249.447,0.083507
76,282.116,741.698,4.74557,139.316,0.0194827
77,285.99,554.897,5.04594,28.2966,0.0363096
78,290.003,513.852,6.22069,51.1008,0.0592766
79,290.003,513.852,6.22069,354.66,0.0592766
80,292.176,754.095,5.64292,140.387,0.0191524
81,294.339,397.687,7.86383,270.493,0.0413742
82,300.377,341.802,4.97383,295.486,0.0215076
83,300.721,763.276,4.84444,139.149,0.0183784
84,311.277,776.025,5.35764,139.478,0.0156535
85,319.237,474.255,7.51373,29.4209,0.100943
86,319.237,474.255,7.51373,223.412,0.100943
87,323.161,482.219,5.3989,36.8365,0.0372752
88,325.85,362.779,5.20305,320.272,0.0229806
89,328.11,399.596,8.01958,161.385,0.0748892
90,328.11,399.596,8.01958,273.108,0.0748892
91,333.969,800.805,5.48792,137.448,0.0177999
92,339.569,410.756,12.1649,112.016,0.0686323
93,342.227,389.471,5.15577,331.133,0.0218475
94,343.677,810.901,5.25699,138.359,0.0183617
95,349.687,408.032,6.06475,322.162,0.0273218
96,349.706,430.452,8.09229,137.476,0.0515744
97,356.381,415.053,2.40726,309.936,0.0193536
98,362.029,631.447,150.158,326.358,0.0442705
99,362.941,420.166,4.89101,320.897,0.0210157
100,364.618,832.746,5.00832,136.869,0.0192315
101,369.555,521.358,5.11192,147.547,0.0429826
102,369.676,429.337,6.08812,332.844,0.0227731
103,372.376,509.326,8.715,168.587,0.0761609
104,377.95,846.776,5.30848,139.222,0.0173108
105,381.034,509.929,6.06108,348.542,0.0264609
106,386.33,520.064,5.05082,321.321,0.0222719
107,388.774,857.144,5.0935,132.128,0.0177693
108,396.753,865.322,5.31313,135.156,0.0198734
109,406.225,850.996,6.88131,313.095,0.0313515
110,436.72,880.953,6.12006,310.808,0.0315172
111,446.662,1264.1,5.09875,199.485,0.0185401
112,453.822,1245.61,5.04,202.873,0.0179739
113,455.526,922.048,6.66583,141.913,0.0266202
114,455.526,922.048,6.66583,177.702,0.0266202
115,457.391,1236.89,5.02215,203.771,0.018027
116,459.263,953.987,6.46622,149.527,0.0155137
117,466.201,600.763,4.76317,310.067,0.0225208
118,467.334,923.346,11.8251,311.734,0.0586781
119,468.174,962.641,5.01914,133.223,0.01849
120,469.644,1208.99,6.0695,209.566,0.0182397
121,470.362,936.455,34.9215,11.6109,0.0368997
122,470.362,936.455,34.9215,310.209,0.0368997
123,472.266,953.703,10.3154,138.476,0.0538982
124,472.266,953.703,10.3154,355.57,0.0538982
125,473.504,965.98,2.65947,133.182,0.0142565
126,474.622,939.13,8.17067,331.922,0.119254
127,478.466,972.165,4.9495,129.491,0.0193113
128,479.361,611.937,5.20774,310.587,0.0227189
129,486.061,956.352,8.26163,49.6623,0.0742276
130,486.061,956.352,8.26163,316.633,0.0742276
131,486.275,617.918,5.10588,309.911,0.022729
132,489.335,939.772,10.4073,51.0215,0.077336
133,490.784,1173.71,5.31381,211.284,0.0200675
134,491.014,929.041,6.25581,235.689,0.0498113
135,491.014,929.041,6.25581,302.144,0.0498113
136,497.832,1163.67,4.82859,215.384,0.0205713
137,509.311,637.777,4.76003,309.928,0.0238015
138,517.954,644.578,4.88872,309.789,0.0241992
139,521.736,1131.2,4.68544,219.649,0.0202746
140,526.851,1003.4,4.7162,116.475,0.017526
141,529.344,889.895,7.37909,227.407,0.0442093
142,540.36,662.71,4.85472,308.788,0.024167
143,541.776,1011.19,5.53662,114.167,0.0179963
144,549.095,669.065,5.23039,309.325,0.0229721
145,557.366,675.82,4.9162,310.014,0.0235718
146,568.35,945.296,70.8254,306.668,0.0426468
147,572.303,1040.06,61.7655,29.5609,0.0556709
148,572.303,1040.06,61.7655,305.537,0.0556709
149,572.569,1065.46,5.09227,217.966,0.0190248
150,586.07,1046.91,4.50692,212.73,0.0186954
151,586.399,1306.45,10.3439,253.248,0.054833
152,595.993,1029.25,5.93384,116.565,0.0330083
153,595.993,1029.25,5.93384,204.807,0.0330083
154,600.411,714.673,10.6754,128.442,0.067634
155,606.34,1024.76,12.0282,280.695,0.0812079
