Index,x,y,size,angle,response
0,319.237,474.26,7.51503,29.4202,0.100942
1,319.237,474.26,7.51503,223.419,0.100942
2,474.625,939.13,8.17179,331.967,0.119263
3,614.292,717.597,6.13967,130.614,0.109315
4,781.777,364.561,16.7933,62.3167,0.16088
5,781.777,364.561,16.7933,133.482,0.16088
6,781.777,364.561,16.7933,179.18,0.16088
7,781.777,364.561,16.7933,214.215,0.16088
8,781.777,364.561,16.7933,252.664,0.16088
9,781.777,364.561,16.7933,308.998,0.16088
10,781.777,364.561,16.7933,359.746,0.16088
11,846.681,768.228,7.58272,15.6897,0.117525
12,846.681,768.228,7.58272,211.115,0.117525
13,892.157,316.209,11.8251,142.154,0.0968481
14,902.697,401.962,12.1062,202.501,0.0984002
15,940.454,841.823,8.6938,45.6232,0.100183
16,940.454,841.823,8.6938,129.442,0.100183
17,979.778,812.849,6.52597,141.681,0.105249
18,979.778,812.849,6.52597,317.162,0.105249
19,991.884,770.197,6.39351,26.5058,0.0953941
20,1013.01,360.572,14.677,184.765,0.15933
21,1013.99,863.884,11.2455,150.795,0.102009
22,1015.49,411.791,7.91443,229.123,0.0885617
23,1015.49,411.791,7.91443,327.128,0.0885617
24,1015.67,452.897,12.8422,4.981,0.0935177
25,1015.67,452.897,12.8422,179.354,0.0935177
26,1023.94,756.926,8.33274,146.961,0.0953102
27,1023.94,756.926,8.33274,329.857,0.0953102
28,1040.41,1003.09,6.81044,126.874,0.112639
29,1047.73,857.472,8.84417,69.6355,0.107719
30,1048.27,997.995,5.63642,173.395,0.0867825
31,1048.27,997.995,5.63642,284.414,0.0867825
32,1057.35,1007.46,17.1359,125.36,0.0994848
33,1067.66,572.283,18.1864,204.391,0.099332
34,1366.54,458.106,7.35765,158.454,0.0906063
35,1366.54,458.106,7.35765,317.292,0.0906063
36,1388.68,540.005,7.99013,18.1272,0.0911632
37,1388.68,540.005,7.99013,182.049,0.0911632
38,1534.5,484.493,12.9951,10.3825,0.0882182
39,1534.5,484.493,12.9951,227.676,0.0882182
