Index,x,y,size,angle,response
0,54.6929,183.598,2.6626,211.154,0.0295595
1,134.943,297.104,2.32505,33.0332,0.023596
2,170.125,273.979,2.29787,71.3203,0.0249011
3,174.384,285.939,2.77236,148.245,0.0246826
4,174.384,285.939,2.77236,330.038,0.0246826
5,185.068,307.198,4.04618,160.095,0.0259038
6,187.851,308.92,1.85052,82.5545,0.0241126
7,187.851,308.92,1.85052,359.655,0.0241126
8,205.954,154.912,5.12072,0.524635,0.0410978
9,205.954,154.912,5.12072,56.796,0.0410978
10,205.954,154.912,5.12072,98.2239,0.0410978
11,205.954,154.912,5.12072,180.027,0.0410978
12,205.954,154.912,5.12072,267.541,0.0410978
13,205.954,154.912,5.12072,325.286,0.0410978
14,207.113,306.175,2.30962,270.42,0.0279893
15,223.107,278.168,2.57353,208.996,0.0410622
16,223.822,281.998,1.99353,32.291,0.0238115
17,225.845,270.807,1.94862,120.541,0.0234452
18,227.674,127.966,81.1437,85.0994,0.0259471
19,241.005,141.481,3.34266,141.279,0.0323221
20,242.428,145.634,2.10693,149.601,0.0273118
21,242.428,145.634,2.10693,341.354,0.0273118
22,243.617,166.985,3.55647,208.159,0.0328343
23,244.816,294.055,2.02032,139.698,0.0242422
24,247.178,164.049,2.34546,2.06753,0.0261118
25,247.178,164.049,2.34546,282.794,0.0261118
26,247.178,164.049,2.34546,310.612,0.0261118
27,252.732,302.583,2.62233,27.3302,0.0369686
28,252.732,302.583,2.62233,135.432,0.0369686
29,253.8,165.944,2.37103,259.57,0.0243073
30,256.459,297.909,1.95127,33.3407,0.0255648
31,256.96,165.456,1.99969,259.935,0.0255519
32,258.397,295.211,2.11744,36.9255,0.0242501
33,259.63,284.215,1.96727,178.854,0.0270682
34,259.63,284.215,1.96727,350.87,0.0270682
35,261.112,289.421,4.1109,180.341,0.0251589
36,262.278,284.861,1.82994,223.543,0.028064
37,262.278,284.861,1.82994,348.042,0.028064
38,262.456,274.517,2.20547,10.994,0.0249958
39,262.456,274.517,2.20547,83.3848,0.0249958
40,262.492,294.044,2.0675,40.447,0.0259643
41,264.872,292.84,1.82408,149.645,0.0319379
42,264.872,292.84,1.82408,315.953,0.0319379
43,264.991,276.481,5.01612,79.8711,0.0255253
44,266.081,284.062,2.28561,38.8479,0.0274699
45,266.081,284.062,2.28561,220.936,0.0274699
46,266.38,294.956,2.34379,144.841,0.0318568
47,266.38,294.956,2.34379,323.427,0.0318568
48,269.341,299.143,2.1663,328.291,0.0317516
49,275.361,276.679,3.6711,103.181,0.0237876
50,275.673,135.135,2.10866,118.543,0.0247214
51,276.123,309.898,3.78282,151.263,0.0282443
52,277.944,155.544,4.16612,88.562,0.0494524
53,277.944,155.544,4.16612,154.574,0.0494524
54,277.944,155.544,4.16612,191.647,0.0494524
55,277.958,279.179,2.2436,156.926,0.0236769
56,278.379,170.36,2.20429,229.865,0.0264934
57,278.473,182.032,4.13923,175.169,0.0240726
58,278.781,177.412,2.43154,161.859,0.025837
59,279.529,311.469,2.14104,85.7167,0.0246141
60,279.529,311.469,2.14104,348.554,0.0246141
61,280.904,230.649,1.98495,307.743,0.0274574
62,284.241,355.463,2.25349,124.554,0.0328462
63,284.479,308.635,1.99534,88.7746,0.0258243
64,287.239,303,2.19648,173.652,0.0305828
65,287.239,303,2.19648,349.167,0.0305828
66,287.902,307.461,2.99682,80.3528,0.0387278
67,287.902,307.461,2.99682,343.67,0.0387278
68,290.009,356.874,5.03399,129.655,0.0316047
69,293.149,352.375,3.18557,273.485,0.0239159
70,293.149,352.375,3.18557,298.694,0.0239159
71,294.488,218.92,5.0363,206.533,0.0376857
72,294.488,218.92,5.0363,344.046,0.0376857
73,318.232,310.851,41.5606,229.862,0.0235815
74,320.434,276.291,2.07762,131.47,0.0278715
75,325.021,280.655,2.02824,135.04,0.0278681
76,335.164,291.948,2.03596,140.279,0.0287535
77,340.804,459.945,2.04252,183.192,0.0259823
78,342.152,301.952,2.03944,146.389,0.028739
79,350.446,311.326,1.93726,226.822,0.026138
80,350.446,311.326,1.93726,325.836,0.026138
81,386.367,185.772,2.107,146.478,0.0354412
82,386.367,185.772,2.107,338.475,0.0354412
83,391.904,193.216,2.1174,316.826,0.0242968
84,395.506,196.077,2.03215,308.155,0.0244409
85,411.467,182.33,1.85173,150.666,0.0244136
86,413.96,187.032,3.07891,169.668,0.0237661
87,437.849,195.584,3.74167,10.2442,0.0302896
