Index,x,y,size,angle,response
0,38.8191,470.946,2.13786,184.029,0.00261407
1,39.2859,456.848,2.07188,336.328,0.00215818
2,40.0254,448.409,2.11684,171.434,0.00155126
3,40.305,432.071,2.0596,127.615,0.00172227
4,42.0305,412.41,2.27528,199.513,0.00204682
5,43.9166,435.799,1.904,173.104,0.00321603
6,44.1819,468.814,4.02631,352.235,0.00350261
7,44.9591,451.275,2.30332,167.239,0.00234641
8,45.0627,396.647,1.91607,197.777,0.00214361
9,45.0627,396.647,1.91607,235.123,0.00214361
10,45.8774,385.004,3.53137,189.789,0.00195988
11,45.9822,321.65,1.95878,321.92,0.00312018
12,46.1083,475.491,2.10139,35.933,0.00150132
13,46.2225,403.688,2.4637,197.613,0.00177764
14,46.3132,400.079,1.90478,359.874,0.00259942
15,46.71,390.761,2.01591,26.5371,0.00255208
16,48.0094,335.615,2.74315,208.358,0.0019529
17,48.0446,457.488,2.55383,16.2715,0.00263084
18,48.0446,457.488,2.55383,112.167,0.00263084
19,48.2918,424.13,4.75565,1.70906,0.00206585
20,48.3347,366.001,1.82229,112.691,0.00140072
21,48.3347,366.001,1.82229,180.643,0.00140072
22,48.6817,467.661,2.62971,348.664,0.00293893
23,48.9327,297.848,1.93559,2.4255,0.00220455
24,49.2267,400.687,2.27967,354.365,0.00319453
25,49.5931,373.952,2.23389,140.07,0.0021377
26,49.9061,430.376,2.47241,67.0876,0.00265236
27,49.9061,430.376,2.47241,154.511,0.00265236
28,49.9441,449.158,5.30097,160.62,0.00185741
29,49.9441,449.158,5.30097,342.934,0.00185741
30,50.3606,408.52,2.00363,214.938,0.00251279
31,50.3606,408.52,2.00363,340.349,0.00251279
32,50.4749,370.194,4.8199,145.956,0.00164643
33,51.1025,391.423,1.89679,170.436,0.00188967
34,51.3473,368.76,3.17934,159.962,0.00164858
35,52.0333,448.795,2.20172,351.675,0.00206563
36,52.3422,248.342,4.42333,10.1748,0.031956
37,52.3758,397.098,2.19988,352.007,0.00197041
38,52.5283,428.415,1.86273,154.996,0.00291101
39,52.8165,379.997,2.18172,177.331,0.00229465
40,53.2169,334.024,6.0945,319.617,0.00802165
41,54.0132,452.336,2.10885,25.5592,0.00140396
42,54.4252,354.455,2.16735,267.004,0.00294432
43,54.8462,413.64,2.84369,32.0255,0.00190391
44,54.8462,413.64,2.84369,181.842,0.00190391
45,54.9481,468.629,3.41377,204.38,0.00231212
46,54.9789,434.667,2.19651,218.891,0.00235424
47,55.591,444.02,3.78834,344.194,0.00329937
48,55.9202,307.639,4.84386,1.35345,0.00229328
49,55.9202,307.639,4.84386,307.683,0.00229328
50,56.0474,350.243,2.00704,181.339,0.00242564
51,56.2321,395.963,3.92562,134.505,0.00292417
52,56.5241,391.13,2.16712,123.115,0.0020418
53,57.9466,217.605,2.00767,2.51518,0.00602711
54,57.9466,217.605,2.00767,267.807,0.00602711
55,58.27,472.292,2.5983,209.966,0.00364798
56,58.5937,355.835,2.37104,9.27055,0.00156013
57,58.5937,355.835,2.37104,159.266,0.00156013
58,59.4621,209.702,7.44894,12.13,0.0451891
59,59.4824,234.991,2.58422,210.152,0.0220383
60,59.526,301.182,3.98683,307.557,0.00153475
61,60.4524,448.609,3.24406,199.592,0.00138326
62,60.6806,394.839,2.3131,141.101,0.00199801
63,60.8496,276.702,3.05598,273.585,0.00124835
64,61.6916,353.262,1.9829,160.05,0.00151686
65,61.6916,353.262,1.9829,343.888,0.00151686
66,61.6925,474.57,1.9782,6.43227,0.00272345
67,62.1965,463.517,5.7285,202.162,0.00290423
68,62.5995,356.413,2.86268,57.1638,0.00151849
69,62.6183,434.708,2.31335,196.795,0.00272615
70,62.6183,434.708,2.31335,351.402,0.00272615
71,63.3101,333.794,6.79784,319.958,0.00851795
72,63.3951,452.512,2.93116,210.869,0.00269551
73,63.5212,246.684,2.31532,4.24431,0.00145786
74,63.9165,333.912,7.44708,319.909,0.00848516
75,63.9911,299.775,2.44501,190.138,0.000552799
76,64.4945,360.51,2.62028,229.493,0.00226405
77,65.0274,440.045,2.50184,168.956,0.00224302
78,65.5132,253.526,3.0843,315.059,0.00134869
79,66.2877,210.077,2.3513,166.853,0.00790999
80,66.3392,291.301,3.79603,201.699,0.00109334
81,66.9246,404.999,5.55824,128.013,0.0021485
82,66.9786,434.39,2.66104,190.756,0.00292319
83,67.0547,216.127,3.03099,185.425,0.0104262
84,67.1722,398.179,2.08763,144.978,0.00139533
85,67.3433,176.148,1.99758,200.368,0.000784313
